假名,日语,中文,英文字母输入
けんいん,牽引,牵引、拖动,ken'in
こうじょう,恒常,恒久、经常,koujou
こうはい,荒廃,荒废、衰败,kouhai
すりきず,擦り傷,擦伤、擦破的伤口,surikizu
そくざ,即座,立刻、马上,sokuza
だかい,打開,打开、解决困境,dakai
たんてき,端的,直率、明显,tanteki
だけつ,妥結,达成协议、谈妥,daketsu
ひろう,披露,发表、公布,hirou
おもてむき,表向き,表面上、官方说法,omotemuki
ふふく,不服,不服、异议,fufuku
むぼう,無謀,鲁莽、轻率,mubou
なごり,名残,余韵、依恋,nagori
もうれつ,猛烈,猛烈、强烈,mouretsu
もほう,模倣,模仿、仿效,mohou
ゆうずう,融通,灵活变通、融通,yuuzuu
よくぼう,欲望,欲望、渴望,yokubou
よぎない,余儀ない,无可奈何、不得已,yoginai
るいすい,類推,类推、类比,ruisui
れんけい,連携,联合、协作,renkei
ろうひ,浪費,浪费、挥霍,rouhi
わかい,和解,和解、调解,wakai
とこう,渡航,出国、航行,tokou
とうさい,搭載,搭载、安装,tousai
せいみつ,精密,精密、周密,seimitsu
えんかつ,円滑,顺利、圆满,enkatsu
おうきゅう,応急,应急、紧急处理,oukyuu
えんかく,沿革,变迁、沿革,enkaku
おんわ,温和,温和、柔和,onwa
かいしゅう,改修,改建、修缮,kaishuu
かくほ,確保,确保、保证,kakuho
かんわ,緩和,缓解、放松,kanwa
かんよ,関与,参与、干预,kan'yo
きふく,起伏,起伏、波动,kifuku
かえりみる,顧みる,回顾、反思,kaerimiru
さよう,作用,作用、影响,sayou
ざせつ,挫折,挫折、失败,zasetsu
しかく,資格,资格、身份,shikaku
しゅうし,終始,始终、自始至终,shuushi
なりたつ,成り立つ,成立、构成,naritatsu
はき,破棄,废除、撕毁,haki
ほっそく,発足,成立、启动,hossoku
めど,目処,目标、眉目,medo
めんじょ,免除,免除、豁免,menjo
ようし,要旨,要点、大意,youshi
ゆうぼう,有望,有前途、有希望,yuubou
てきおう,適応,适应、符合,tekiou
ちょうほう,重宝,便利、珍视,chouhou
しんてい,進呈,赠送、奉送,shintei
さいそく,催促,催促、敦促,saisoku
ひろう,披露,公布、发表,hirou
ひけつ,否決,否决、驳回,hiketsu
さしず,指図,指示、指挥,sashizu
しゅうしょく,修飾,修饰、润色,shuushoku
かんきゅう,緩急,轻重缓急,kankyu
ほしょう,補償,赔偿、补偿,hoshou
はきゅう,波及,波及、影响扩大,hakyuu
してき,指摘,指出、指摘,shiteki
はいじょ,排除,排除、去除,haijo
ぞうきょう,増強,增强、加强,zoukyou
まぬかれる,免れる,逃避、避免,manukareru
くつがえす,覆す,颠覆、推翻,kutsugaesu
がいよう,概要,概要、概述,gaiyou
せいじゅ,成就,成就、成果,seiju
はそん,破損,破损、损坏,hason
はいふ,配布,分发、配发,haifu
ほきゅう,補給,补给、补充,hokyuu
しんか,進化,进化、发展,shinka
じぞく,持続,持续、维持,jizoku
かくさん,拡散,扩散、传播,kakusan
かかげる,掲げる,刊登、提出,kakageru
にんたい,忍耐,忍耐、耐性,nintai
はいすい,排水,排水、排污,haisui
てんかん,転換,转换、改变,tenkan
かくり,隔離,隔离、分离,kakuri
かろう,過労,过度劳累,karou
けいげん,軽減,减轻、缓解,keigen
ゆうどう,誘導,引导、诱导,yuudou
はいし,廃止,废止、废除,haishi
もほう,模倣,模仿、仿制,mohou
ついきゅう,追及,追究、深挖,tsuikyuu
とうかつ,統括,统括、总管,toukatsu
うらづけ,裏付け,证据、佐证,uraduke
てんらく,転落,堕落、跌落,tenraku
いくせい,育成,培养、培育,ikusei
じゅりつ,樹立,树立、建立,juritsu
しき,指揮,指挥、统率,shiki
はんえい,繁栄,繁荣、兴旺,han'ei
ふっこう,復興,复兴、重建,fukkou
かいたく,開拓,开拓、开发,kaitaku
はんざつ,繁雑,繁琐、复杂,hanzatsu
はあく,把握,掌握、理解,haaku
ぼっしゅう,没収,没收、充公,bosshuu
たんがん,嘆願,请求、恳求,tangan
しこう,施行,施行、实施,shikou
てっきょ,撤去,拆除、撤去,tekkyo
しゅうちゃく,執着,执着、留恋,shuuchaku
けいし,軽視,轻视、忽视,keishi
くつじょく,屈辱,屈辱、侮辱,kutsujoku
そくしん,促進,促进、加速,sokushin
しゃだん,遮断,阻断、遮断,shadan
ずいいち,随一,首屈一指、数一数二,zuiichi
まっしょう,抹消,抹去、删除,masshou
はたん,破綻,破裂、破产,hatan
ちゅうちょ,躊躇,犹豫、踌躇,chuucho
ぼうかん,傍観,旁观、袖手旁观,boukan
ろうどく,朗読,朗读、朗诵,roudoku
けっこう,決行,坚决执行,kekkou
ちんれつ,陳列,陈列、展示,chinretsu
むじゅん,矛盾,矛盾、冲突,mujun
