romaji             , kana                  , kanji                 , chinese               , english            , example                                         , cn_meaning                                  , jp_meaning                                , scene
ha-burashi         , ハブラシ              , 歯ブラシ              , 牙刷                  , toothbrush         , 歯ブラシで歯を磨きます。                        , 用于刷牙的工具                              , 歯を磨く道具                              , うち
toiretto-pepa      , トイレットペーパー    , トイレットペーパー    , 厕纸                  , toilet paper       , トイレットペーパーがなくなりました。            , 用于擦拭的纸                                , トイレで使う紙                            , うち
jaguchi            , じゃぐち              , 蛇口                  , 水龙头                , faucet             , 蛇口をひねると水が出ます。                      , 控制水流的装置                              , 水を出すための装置                        , うち
sekken             , せっけん              , 石鹸                  , 肥皂                  , soap               , 石けんで手を洗います。                          , 用于清洁的固体                              , 汚れを落とすためのもの                    , うち
ofuro              , おふろ                , お風呂                , 浴缸                  , bath               , お風呂に入ってリラックスします。                , 用于泡澡的容器                              , 体を温めるためのお湯                      , うち
nagashi            , ながし                , 流し                  , 水槽                  , sink               , 流しで野菜を洗います。                          , 厨房中的水槽                                , 台所の水を流す場所                        , だいどころ
yakan              , やかん                , やかん                , 水壶                  , kettle             , やかんでお湯を沸かします。                      , 用于烧水的容器                              , お湯を沸かすための器具                    , だいどころ
naifu              , ナイフ                , ナイフ                , 刀                    , knife              , ナイフで野菜を切ります。                        , 用于切割的工具                              , 物を切るための道具                        , だいどころ
moppu              , モップ                , モップ                , 拖把                  , mop                , モップで床を掃除します。                        , 用于清洁地面的工具                          , 掃除するための道具                        , だいどころ
hataki             , はたき                , はたき                , 掸子                  , duster             , ほこりをはたくための道具です。                  , 用于清洁的工具                              , 掃除するための道具                        , だいどころ
tairu              , タイル                , タイル                , 瓷砖                  , tile               , タイルの床は掃除がしやすいです。                , 铺在地面的材料                              , 床に敷く材料                              , だいどころ
hoki               , ほうき                , ほうき                , 扫帚                  , broom              , ほうきで掃除をします。                          , 用于清扫的工具                              , 掃除するための道具                        , だいどころ
sentakuki          , せんたくき            , 洗濯機                , 洗衣机                , washing machine    , 洗濯機で服を洗います。                          , 用于清洗衣物的机器                          , 衣類を洗うための機械                      , だいどころ
chiritori          , ちりとり              , ちりとり              , 簸箕                  , dustpan            , ちりとりでゴミを集めます。                      , 用于收集灰尘的工具                          , 掃除のための道具                          , だいどころ
hikidashi          , ひきだし              , 引き出し              , 抽屉                  , drawer             , 引き出しに食器をしまいます。                    , 用于存放物品的空间                          , 収納するための場所                        , だいどころ
ukezara            , うけざら              , 受け皿                , 接盘                  , serving plate      , 受け皿に料理を盛ります。                        , 用于盛放食物的器皿                          , 料理を盛るための皿                        , だいどころ
furaipan           , フライパン            , フライパン            , 平底锅                , frying pan         , フライパンで卵を焼きます。                      , 用于煎炒的锅具                              , 料理をするための器具                      , だいどころ
renji              , れんじ                , レンジ                , 炉灶                  , stove              , レンジで料理を温めます。                        , 用于烹饪的设备                              , 料理をするための機械                      , だいどころ
supun              , スプーン              , スプーン              , 勺子                  , spoon              , スプーンでスープを食べます。                    , 用于盛汤或搅拌的工具                        , 液体をすくうための道具                    , だいどころ
osara              , おさら                , お皿                  , 盘子                  , plate              , お皿に料理を盛ります。                          , 用于盛放食物的器皿                          , 料理を盛るための皿                        , だいどころ
airon              , アイロン              , アイロン              , 熨斗机                , iron               , アイロンでシャツをアイロンがけします。          , 用于熨烫衣物的设备                          , 衣類を整えるための機械                    , だいどころ
mono-ire           , ものいれ              , 物入れ                , 储物柜                , storage cabinet    , 物入れに食材をしまいます。                      , 用于存放物品的空间                          , 収納するための場所                        , だいどころ
boru               , ボール                , ボール                , 碗碟                  , ball               , ボールにサラダを盛ります。                      , 用于盛放食物的器皿                          , 料理を盛るための皿                        , だいどころ
burashi            , ブラシ                , ブラシ                , 刷子                  , brush              , ブラシで食器を洗います。                        , 用于清洁的工具                              , 掃除するための道具                        , だいどころ
macchi             , マッチ                , マッチ                , 火柴                  , match              , マッチで火をつけます。                          , 用于点火的小工具                            , 火をつけるための道具                      , だいどころ
kohii-kappu        , コーヒーカップ        , コーヒーカップ        , 咖啡杯                , coffee cup         , コーヒーカップでコーヒーを飲みます。            , 用于盛放饮料的杯子                          , 飲み物を入れるための器                    , だいどころ
fukin              , ふきん                , ふきん                , 抹布                  , dish cloth         , ふきんで食器を拭きます。                        , 用于擦拭的布                                , 掃除するための布                          , だいどころ
gomi               , ごみ                  , ごみ                  , 垃圾                  , trash              , ゴミを捨てます。                                , 废弃的物品                                  , 捨てるもの                                , だいどころ
airon-dai          , アイロン台            , アイロン台            , 熨斗台                , ironing board      , アイロン台でシャツをアイロンがけします。        , 用于熨烫衣物的设备                          , 衣類を整えるための機械                    , だいどころ
epuron             , エプロン              , エプロン              , 围裙                  , apron              , エプロンをつけて料理をします。                  , 用于保护衣物的服装                          , 料理をするときに着るもの                  , だいどころ
foku               , フォーク              , フォーク              , 叉子                  , fork               , フォークでサラダを食べます。                    , 用于盛放食物的器皿                          , 料理を盛るための皿                        , だいどころ
nabe               , なべ                  , 鍋                    , 锅                    , pot                , 鍋で料理をします。                              , 用于烹饪的器具                              , 料理をするための器具                      , だいどころ
sojiki             , そうじき              , 掃除機                , 吸尘器                , vacuum cleaner     , 掃除機で部屋を掃除します。                      , 用于清洁的设备                              , 掃除するための機械                        , だいどころ
doa                , ドア                  , ドア                  , 门                    , door               , ドアを開けます。                                , 用于进出房间的设施                          , 部屋の出入り口                            , だいどころ
kagi               , かぎ                  , 鍵                    , 钥匙                  , key                , 鍵をかけます。                                  , 用于开锁的工具                              , 施錠するための道具                        , だいどころ
senzai             , せんざい              , 洗剤                  , 洗涤剂                , detergent          , 洗剤で食器を洗います。                          , 用于清洁的化学物质                          , 掃除するための薬品                        , だいどころ
suiichi            , すいっち              , スイッチ              , 开关                  , switch             , スイッチを入れます。                            , 用于控制电器的装置                          , 電気を入れるための装置                    , だいどころ
kasaji             , かさじ                , かさじ                , 汤匙                  , ladle              , カサジでスープをすくいます。                    , 用于盛汤的工具                              , 液体をすくうための道具                    , だいどころ
koshikake          , こしかけ              , 腰掛け                , 凳子                  , stool              , 台所に腰掛けがあります。                        , 用于坐的家具                                , 座るための家具                            , だいどころ
tokei              , とけい                , 時計                  , 钟表                  , clock              , 時計を見ます。                                  , 用于显示时间的设备                          , 時間を示すための機械                      , だいどころ
koppu              , コップ                , コップ                , 杯子                  , cup                , コップで水を飲みます。                          , 用于盛放饮料的器皿                          , 飲み物を入れるための器                    , だいどころ
reizoko            , れいぞうこ            , 冷蔵庫                , 冰箱                  , refrigerator       , 冷蔵庫に食材を入れます。                        , 用于存放食物的设备                          , 食材を保存するための機械                  , だいどころ
jore               , じょうろ              , じょうろ              , 浇水壶                , watering can       , じょうろで花に水をやります。                    , 用于浇水的工具                              , 植物に水をやるための道具                  , にわ
mitsubachi         , みつばち              , 蜜蜂                  , 蜜蜂                  , bee                , 庭に蜜蜂が飛んでいます。                        , 采集花蜜的昆虫                              , 花の蜜を集める虫                          , にわ
shaberu            , シャベル              , シャベル              , 铲子                  , shovel             , シャベルで土を掘ります。                        , 用于挖掘的工具                              , 土を掘るための道具                        , にわ
hone               , ほね                  , 骨                    , 骨头                  , bone               , 犬の骨を埋めました。                            , 动物的骨骼                                  , 動物の骨                                  , にわ
ike-gaki           , いけがき              , いけがき              , 篱笆                  , fence              , 庭にいけがきがあります。                        , 用于围住庭院的栅栏                          , 庭を囲むための柵                          , にわ
mataguwa           , またぐわ              , またぐわ              , 跨栏                  , stile              , またぐわを越えて庭に入ります。                  , 用于跨越的栅栏                              , 庭を越えるための柵                        , にわ
shibakariki        , しばかりき            , 芝刈り機              , 修剪工具              , hedge trimmer      , 芝刈り機で芝生を刈ります。                      , 用于修剪草坪的工具                          , 草を刈るための道具                        , にわ
ko-michi           , こみち                , 小道                  , 小路                  , alley              , 小道を歩きます。                                , 用于行走的小路                              , 人が通るための道                          , にわ
ha                 , は                    , 葉                    , 叶子                  , leaf               , 木の葉が落ちました。                            , 植物的叶片                                  , 植物の葉                                  , にわ
ki                 , き                    , 木                    , 树木                  , tree               , 木の下で休みます。                              , 用于遮阴的植物                              , 日陰を作る植物                            , にわ
kemuri             , けむり                , 煙                    , 烟雾                  , smoke              , 煙が出ています。                                , 燃烧时产生的气体                            , 燃えるときに出る気体                      , にわ
kemushi            , けむし                , 毛虫                  , 毛虫                  , caterpillar        , 毛虫が木にいます。                              , 幼虫的形态                                  , 幼虫の形                                  , にわ
kumade             , くまで                , 熊手                  , 耙子                  , rake               , 熊手で落ち葉を集めます。                        , 用于收集落叶的工具                          , 落ち葉を集めるための道具                  , にわ
torinosu           , とりのす              , 鳥の巣                , 鸟巢                  , bird's nest        , 鳥の巣が木にあります。                          , 鸟类的栖息地                                , 鳥が住む場所                              , にわ
ko-eda             , こえだ                , 小枝                  , 小树枝                , twig               , 小枝が落ちています。                            , 树木的细小分支                              , 木の細い部分                              , にわ
onshitsu           , おんしつ              , 温室                  , 温室                  , greenhouse         , 温室で植物を育てます。                          , 用于栽培植物的建筑物                        , 植物を育てるための建物                    , にわ
hosu               , ホース                , ホース                , 水管                  , hose               , ホースで水を撒きます。                          , 用于浇水的管子                              , 水を撒くための管                          , にわ
takibi             , たきび                , 焚き火                , 篝火                  , campfire           , 焚き火を囲んで話をします。                      , 用于取暖或烹饪的火                          , 暖を取るための火                          , にわ
hashigo            , はしご                , 梯子                  , 梯子                  , ladders            , はしごを使って屋根に上がります。                , 用于攀爬的工具                              , 登るための道具                            , にわ
ubaguruma          , うばぐるま            , うばぐるま            , 婴儿车                , stroller           , うばぐるまを押して散歩します。                  , 用于推着婴儿的车子                          , 赤ちゃんを乗せるための車                  , にわ
kusa               , くさ                  , 草                    , 草                    , grass              , 庭に草が生えています。                          , 地面上长出的植物                            , 地面に生える植物                          , にわ
suzume-bachi       , すずめばち            , スズメバチ            , 黄蜂                  , wasp               , スズメバチが巣を作っています。                  , 一种昆虫                                    , 昆虫の一種                                , にわ
kana-guwa          , かなぐわ              , かなぐわ              , 锄头                  , hoe                , かなぐわで土を耕します。                        , 用于耕地的工具                              , 土を耕すための道具                        , にわ
supurinkura        , スプリンクラー        , スプリンクラー        , 喷灌机                , sprinkler          , スプリンクラーで水を撒きます。                  , 用于浇水的设备                              , 水を撒くための装置                        , にわ
hana               , はな                  , 花                    , 花                    , flower             , 花が咲いています。                              , 植物的繁殖器官                              , 植物の繁殖器官                            , にわ
mimizu             , みみず                , ミミズ                , 蚯蚓                  , earthworm          , ミミズが土の中にいます。                        , 生活在土壤中的生物                          , 土の中にいる生物                          , にわ
koya               , こや                  , 小屋                  , 小屋                  , shed               , 小屋で道具を保管します。                        , 用于存放工具的小房子                        , 道具を収納するための小さな家              , にわ
tane               , たね                  , 種                    , 种子                  , seed               , 種をまきます。                                  , 植物的繁殖单位                              , 植物の繁殖の単位                          , にわ
gomi-ire           , ごみいれ              , ごみ入れ              , 垃圾桶                , trash can          , ごみ入れにゴミを捨てます。                      , 用于存放垃圾的容器                          , ゴミを入れるための容器                    , にわ
tento-mushi        , てんとうむし          , テントウムシ          , 瓢虫                  , ladybug            , テントウムシが葉にいます。                      , 一种昆虫                                    , 昆虫の一種                                , にわ
sukkopu            , すっこぷ              , スコップ              , 铲子                  , shovel             , スコップで土を掘ります。                        , 用于挖掘的工具                              , 土を掘るための道具                        , にわ
hato               , はと                  , 鳩                    , 鸽子                  , dove               , 鳩が飛んでいます。                              , 一种鸟类                                    , 鳥の一種                                  , にわ
renga              , レンガ                , レンガ                , 砖                    , brick              , レンガで壁を作ります。                          , 用于建筑的材料                              , 建物を作るための材料                      , にわ
katatsumuri        , かたつむり            , カタツムリ            , 蜗牛                  , slug               , カタツムリが葉の上にいます。                    , 一种软体动物                                , 軟体動物の一種                            , にわ
su-bako            , すばこ                , 巣箱                  , 鸟箱                  , birdhouse          , 巣箱に鳥が来ました。                            , 用于鸟类栖息的房子                          , 鳥が住むための家                          , にわ
neko-guruma        , ねこぐるま            , 運ぶための道具        , 独轮手推车            , wheelbarrow        , neko-guruma                                     , 独輪車で土を運びます。                      , 用于运输的工具                            , にわ
neji               , ねじ                  , ネジ                  , 螺丝钉                , screw              , ネジを締めます。                                , 用于连接物品的金属件                        , 物を締めるための金属部品                  , さぎょうば
byo                , びょう                , 釘                    , 钉子                  , nail               , 釘を打ちます。                                  , 用于固定物品的金属件                        , 物を固定するための金属部品                , さぎょうば
kumo               , くも                  , 蜘蛛                  , 蜘蛛                  , spider             , クモがいます。                                  , 一种昆虫                                    , 昆虫の一種                                , さぎょうば
boruto             , ボルト                , ボルト                , 螺栓                  , bolt               , ボルトを締めます。                              , 用于连接物品的金属件                        , 物を締めるための金属部品                  , さぎょうば
natto              , ナット                , ナット                , 螺母                  , nut                , ナットを締めます。                              , 用于连接物品的金属件                        , 物を締めるための金属部品                  , さぎょうば
kumo nosu          , くものす              , 蜘蛛の巣              , 蜘蛛网                , spider web         , クモの巣がありました。                          , 蜘蛛织的网状物                              , クモが作る網                              , さぎょうば
taru               , たる                  , 樽                    , 桶                    , barrel             , 樽に水を入れます。                              , 用于存放液体的容器                          , 液体を入れるための容器                    , さぎょうば
hae                , はえ                  , ハエ                  , 苍蝇                  , fly                , ハエが飛んでいます。                            , 一种昆虫                                    , 昆虫の一種                                , さぎょうば
ono                , おの                  , 斧                    , 斧头                  , axe                , 斧で木を切ります。                              , 用于砍伐的工具                              , 木を切るための道具                        , さぎょうば
makijaku           , まきじゃく            , 巻き尺                , 卷尺                  , tape measure       , 巻き尺で長さを測ります。                        , 用于测量长度的工具                          , 長さを測るための道具                      , さぎょうば
hanma              , ハンマー              , ハンマー              , 锤子                  , hammer             , ハンマーで釘を打ちます。                        , 用于敲打的工具                              , 物を叩くための道具                        , さぎょうば
yasuri             , やすり                , ヤスリ                , 锉刀                  , file               , ヤスリで金属を削ります。                        , 用于磨平物体的工具                          , 物を削るための道具                        , さぎょうば
penki-kan          , ペンキ缶              , ペンキ缶              , 油漆桶                , paint can          , ペンキ缶にペンキがあります。                    , 用于存放油漆的容器                          , 塗料を入れるための容器                    , さぎょうば
kan-na             , かんな                , カンナ                , 刨子                  , plane              , カンナで木を削ります。                          , 用于削平木材的工具                          , 木を削るための道具                        , さぎょうば
bin                , びん                  , 瓶                    , 瓶子                  , bottle             , 瓶に水を入れます。                              , 用于存放液体的容器                          , 液体を入れるための容器                    , さぎょうば
sagyodai           , さぎょうだい          , 作業台                , 工作台                , workbench          , 作業台で作業をします。                          , 用于进行工作的台子                          , 作業をするための台                        , さぎょうば
kugi               , くぎ                  , 釘                    , 钉子                  , nail               , 釘を打ちます。                                  , 用于固定物品的金属件                        , 物を固定するための金属部品                , さぎょうば
zaimuku            , ざいむく              , 材木                  , 木材                  , wood               , 材木を切ります。                                , 用于建筑的材料                              , 建物を作るための材料                      , さぎょうば
kanna-kuzu         , かんなくず            , カンナくず            , 刨花                  , wood shavings      , カンナくずが出ました。                          , 削木时产生的碎屑                            , 木を削ったときに出るもの                  , さぎょうば
ita                , いた                  , 板                    , 木板                  , board              , 板を切ります。                                  , 用于建筑的材料                              , 建物を作るための材料                      , さぎょうば
nejimawashi        , ねじまわし            , ネジ回し              , 螺丝刀                , screwdriver        , ネジ回しでネジを締めます。                      , 用于拧紧螺丝的工具                          , ネジを締めるための道具                    , さぎょうば
dogu-bako          , どうぐばこ            , 道具箱                , 工具箱                , toolbox            , 道具箱に道具があります。                        , 用于存放工具的箱子                          , 道具を入れるための箱                      , さぎょうば
karenda            , カレンダー            , カレンダー            , 日历                  , calendar           , カレンダーを見ます。                            , 用于记录日期的工具                          , 日付を記録するためのもの                  , さぎょうば
ogakuzu            , おがくず              , おがくず              , 木屑                  , sawdust            , おがくずが出ました。                            , 锯木时产生的碎屑                            , 木を切ったときに出るもの                  , さぎょうば
nakogiri           , のこぎり              , ノコギリ              , 锯子                  , saw                , ノコギリで木を切ります。                        , 用于切割木材的工具                          , 木を切るための道具                        , さぎょうば
hashigo            , はしご                , はしご                , 梯子                  , ladders            , はしごを使って屋根に上がります。                , 用于攀爬的工具                              , 登るための道具                            , さぎょうば
doriru             , ドリル                , ドリル                , 钻头                  , drill              , ドリルで穴を開けます。                          , 用于打孔的工具                              , 穴を開けるための道具                      , さぎょうば
kami-yasuri        , かみやすり            , 紙やすり              , 砂纸                  , sandpaper          , 紙やすりで木を磨きます。                        , 用于打磨物体的工具                          , 物を磨くための道具                        , さぎょうば
manriki            , まんりき              , 万力                  , 万能钳                , pliers             , 万力で物を挟みます。                            , 用于夹持物体的工具                          , 物を挟むための道具                        , さぎょうば
basu               , バス                  , バス                  , 公共汽车              , bus                , バスに乗ります。                                , 用于公共交通的车辆                          , 公共交通機関の車両                        , とおり
takushii           , タクシー              , タクシー              , 出租车                , taxi               , タクシーを呼びます。                            , 用于公共交通的车辆                          , 公共交通機関の車両                        , とおり
odan-hodo          , おだんほうど          , 歩道                  , 人行道                , pavement           , 歩道を歩きます。                                , 供行人通行的道路                            , 人が通るための道                          , とおり
kojo               , こうじょう            , 工場                  , 工厂                  , factory            , 工場で働きます。                                , 用于生产的场所                              , 物を作るための場所                        , とおり
torakku            , トラック              , トラック              , 卡车                  , truck              , トラックで荷物を運びます。                      , 用于运输的车辆                              , 荷物を運ぶための車両                      , とおり
kotsu-shingo       , こうつうしんごう      , 交通信号              , 交通信号              , traffic light      , 交通信号を守ります。                            , 用于指示交通的设施                          , 交通を指示するための装置                  , とおり
eiga-kan           , えいがかん            , 映画館                , 电影院                , cinema             , 映画館で映画を見ます。                          , 用于观看电影的场所                          , 映画を見るための場所                      , とおり
raito-ban          , ライトバン            , ライトバン            , 厢式货车              , light van          , ライトバンで荷物を運びます。                    , 用于运输的车辆                              , 荷物を運ぶための車両                      , とおり
